Course,A rate,Pass rate,Withdraw rate
CSM 3040,69.0,100.0,0.0
CSM 3050,46.0,100.5,0.0
CSM 3060,63.5,97.5,2.0
CSM 3070,67.0,100.0,0.0
CSM 3510,40.5,89.0,5.5
CSM 3520,8.0,100.0,0.0
CSM 3530,92.0,100.0,0.0
CSM 4110,73.0,99.0,0.0
CSM 4400,52.0,99.0,0.0
CSM 4500,81.0,100.0,0.0
CSM 4530,75.5,100.0,0.0
CSM 6310,82.0,100.0,0.0
CSM 8600,43.0,100.0,0.0
CSM 8610,81.0,100.0,0.0
CSM 8690,91.0,100.0,0.0
CU 1010,79.6,92.39999999999999,1.0
DANC 2500,88.0,100.0,0.0
DBE 8150,50.0,100.0,0.0
DPA 3070,71.0,71.0,29.0
DPA 4000,75.0,92.0,8.0
DPA 4020,62.0,85.0,8.0
DPA 6000,0.0,83.0,17.0
DSA 8010,69.0,91.0,6.0
DSA 8030,66.0,88.0,3.0
DSA 8070,86.0,97.0,0.0
DSA 8590,58.0,91.0,0.0
DSA 8640,85.0,97.0,3.0
DSA 8670,49.0,95.0,0.0
ECAS 1900,74.0,89.0,11.0
ECAS 1990,76.0,97.0,0.0
ECAS 2900,80.0,100.0,0.0
ECAS 2910,83.0,91.0,0.0
ECAS 3910,86.0,100.0,0.0
ECAS 3990,80.0,80.0,0.0
ECE 2010,26.0,67.5,11.0
ECE 2020,37.666666666666664,82.33333333333333,3.0
ECE 2070,33.333333333333336,89.0,1.6666666666666667
ECE 2080,85.14285714285714,96.85714285714285,0.8571428571428571
ECE 2090,75.85714285714286,86.42857142857143,9.857142857142858
ECE 2110,74.22222222222223,91.22222222222223,5.222222222222222
ECE 2120,78.0,95.0,4.0
ECE 2210,39.5,90.0,5.0
ECE 2220,41.0,89.0,5.0
ECE 2230,34.0,76.0,17.0
ECE 2620,34.0,88.0,2.0
ECE 2720,32.0,89.0,0.0
ECE 2730,73.0,93.0,0.0
ECE 3110,81.8,88.99999999999999,4.0
ECE 3120,72.5,100.0,0.0
ECE 3170,34.0,84.0,0.0
ECE 3200,36.0,78.0,4.0
ECE 3210,42.0,97.0,3.0
ECE 3220,75.0,100.0,0.0
ECE 3300,41.5,86.5,3.5
ECE 3520,93.0,100.0,0.0
ECE 3600,61.0,100.0,0.0
ECE 3710,34.0,92.0,5.0
ECE 3720,85.25,88.75,11.25
ECE 3800,47.0,93.0,5.0
ECE 3810,17.0,96.0,0.0
ECE 3990,67.0,67.0,17.0
ECE 4040,58.0,90.0,0.0
ECE 4090,56.0,100.0,0.0
ECE 4180,30.0,60.0,10.0
ECE 4270,36.0,98.0,2.0
ECE 4290,71.0,101.0,0.0
ECE 4420,92.0,96.0,4.0
ECE 4490,44.0,69.0,19.0
ECE 4610,67.0,101.0,0.0
ECE 4670,57.0,100.0,0.0
ECE 4710,62.0,99.0,0.0
ECE 4950,99.0,100.0,0.0
ECE 4960,88.0,100.0,0.0
ECE 4990,89.0,89.0,0.0
ECE 6180,67.0,84.0,17.0
ECE 6290,82.0,100.0,0.0
ECE 6420,90.0,96.0,3.0
ECE 6610,63.0,101.0,0.0
ECE 6710,38.0,101.0,0.0
ECE 6780,60.0,100.0,0.0
ECE 8010,73.0,100.0,0.0
ECE 8040,80.0,100.0,0.0
ECE 8630,33.0,83.0,17.0
ECE 8830,75.0,88.0,0.0
ECE 8930,69.33333333333333,100.0,0.0
ECON 2000,38.666666666666664,84.66666666666666,4.333333333333333
ECON 2110,31.257142857142856,92.28571428571428,2.085714285714286
ECON 2120,41.90909090909091,90.36363636363637,2.5454545454545454
ECON 3020,95.0,100.0,0.0
ECON 3030,22.0,89.0,7.0
ECON 3060,60.0,96.0,5.0
ECON 3100,55.0,95.0,0.0
ECON 3140,39.6,85.0,6.4
ECON 3150,26.333333333333332,79.0,4.0
ECON 3190,29.0,96.0,0.0
ECON 3250,45.0,88.0,2.0
ECON 3600,50.0,96.0,2.0
ECON 4020,25.0,91.0,3.0
ECON 4040,28.0,81.0,0.0
ECON 4050,56.666666666666664,94.33333333333333,1.0
ECON 4100,78.0,100.0,0.0
ECON 4120,70.0,100.0,0.0
ECON 4230,44.0,80.0,0.0
ECON 4260,54.0,96.0,0.0
ECON 4980,46.333333333333336,85.0,6.0
ECON 8010,20.0,80.0,10.0
ECON 8040,56.0,89.0,0.0
ECON 8060,36.0,81.0,9.0
ECON 8160,71.0,100.0,0.0
ECON 8200,63.0,101.0,0.0
ECON 8230,27.0,100.0,0.0
ECON 8600,84.0,100.0,0.0
ECON 8700,63.0,96.0,4.0
ECON 9000,75.0,100.0,0.0
ED 1050,88.0,94.0,6.0
ED 1400,73.6,97.8,0.0
ED 2400,84.5,100.0,0.0
ED 3010,86.0,98.0,0.0
ED 8090,97.0,99.0,2.0
ED 8480,94.0,97.0,3.0
EDC 8100,92.0,92.0,0.0
EDEC 2000,93.0,98.5,0.0
EDEC 4400,81.0,100.0,0.0
EDEL 3210,86.5,100.0,0.0
EDEL 4010,73.5,100.0,0.0
EDEL 4510,91.5,100.0,0.0
EDEL 4520,89.0,100.33333333333333,0.0
EDEL 4870,88.0,100.0,0.0
EDF 3020,83.0,98.75,0.75
EDF 3340,75.0,97.5,0.0
EDF 3350,82.0,100.0,0.0
EDF 4800,80.42857142857143,93.71428571428571,1.4285714285714286
EDF 8080,94.0,99.0,2.0
EDF 9270,73.75,93.25,4.0
EDHC 3100,41.0,78.0,4.0
EDHC 3200,82.0,97.0,0.0
EDHC 3210,92.0,100.0,0.0
EDHC 3300,80.0,96.5,4.0
EDHC 3900,73.5,99.5,0.0
EDHC 4110,75.0,90.0,0.0
EDHC 4220,69.0,100.0,0.0
EDHC 4320,84.0,100.0,0.0
EDHC 4900,50.0,100.0,0.0
EDL 8550,64.0,100.0,0.0
EDL 9750,87.0,87.0,7.0
EDLL 8000,86.0,100.0,0.0
EDLL 8050,71.0,100.0,0.0
EDLL 8400,83.0,100.0,0.0
EDLL 8500,71.0,71.0,0.0
EDLT 4590,93.0,100.0,0.0
EDLT 4600,94.0,100.0,0.0
EDLT 4800,84.0,98.5,0.0
EDLT 4980,92.0,100.0,0.0
EDLT 8100,81.0,87.0,0.0
EDLT 8120,86.5,98.0,0.0
EDLT 8140,91.0,96.0,0.0
EDLT 8280,78.0,89.0,0.0
EDSA 3990,94.0,100.0,0.0
EDSA 8040,92.0,100.0,0.0
EDSC 2260,82.0,94.0,0.0
EDSC 3280,88.0,101.0,0.0
EDSC 4280,85.0,100.0,0.0
EDSC 8640,60.0,100.0,0.0
EDSP 3700,84.66666666666667,98.66666666666667,1.0
EDSP 3750,89.5,97.5,0.0
EDSP 3760,79.0,97.0,0.0
EDSP 4930,92.0,100.0,0.0
EDSP 4970,92.0,96.0,0.0
EDSP 8200,88.0,94.0,0.0
EDSP 8540,81.0,96.0,0.0
EDSP 8610,88.0,96.0,0.0
EDSP 8720,68.5,86.5,3.5
EES 2010,41.0,88.0,3.0
EES 3030,57.0,97.0,0.0
EES 3040,50.0,94.0,0.0
EES 3050,71.0,87.0,0.0
EES 4010,48.0,98.5,1.0
EES 4090,20.0,80.0,4.0
EES 4140,67.0,91.0,5.0
EES 4500,93.0,100.0,0.0
EES 4800,31.0,93.0,0.0
EES 4840,71.0,96.0,0.0
EES 4850,29.0,86.0,7.0
EES 4860,67.66666666666667,93.33333333333334,7.0
EES 4900,92.0,92.0,8.0
EES 8020,63.0,101.0,0.0
EES 8080,50.0,100.0,0.0
EES 8430,71.0,100.0,0.0
ELE 3010,53.4,98.80000000000001,0.6
ELE 3990,89.0,100.0,0.0
ELE 4010,69.0,100.0,0.0
ELE 4020,42.5,97.5,1.0
ELE 4030,19.0,100.0,0.0
ELE 4040,71.0,100.0,0.0
ELE 4080,52.0,100.0,0.0
ENGL 1030,70.86764705882354,94.20588235294119,1.838235294117647
ENGL 2020,70.0,94.36363636363637,1.8181818181818181
ENGL 2120,61.75,93.03125,2.875
ENGL 2130,57.90909090909091,94.36363636363636,3.0
ENGL 2140,71.38461538461539,95.23076923076923,2.6153846153846154
ENGL 2150,63.46153846153846,94.61538461538461,2.1538461538461537
ENGL 2160,82.0,96.0,0.0
ENGL 2310,47.0,100.0,0.0
ENGL 3100,71.0,94.66666666666667,3.6666666666666665
ENGL 3120,73.0,92.0,5.0
ENGL 3450,66.0,92.0,5.5
ENGL 3460,63.0,94.0,6.0
ENGL 3480,78.0,101.0,0.0
ENGL 3490,75.0,95.0,5.0
ENGL 3500,47.0,78.0,5.0
ENGL 3520,62.0,96.0,5.0
ENGL 3560,62.0,95.0,5.0
ENGL 3800,43.0,91.0,5.0
ENGL 3850,63.0,94.0,6.0
ENGL 3960,77.0,100.0,0.0
ENGL 3970,62.0,95.0,0.0
ENGL 3980,78.0,89.0,11.0
ENGL 3990,74.0,96.0,4.0
ENGL 4070,85.0,100.0,0.0
ENGL 4110,70.0,95.0,0.0
ENGL 4140,17.0,84.0,11.0
ENGL 4190,48.0,86.0,0.0
ENGL 4250,53.0,100.0,0.0
ENGL 4420,70.0,95.0,5.0
ENGL 4440,60.0,95.0,0.0
ENGL 4450,69.0,100.0,0.0
ENGL 4480,80.0,100.0,0.0
ENGL 4600,71.0,86.0,0.0
ENGL 4640,68.0,84.0,0.0
ENGL 4650,76.0,95.0,5.0
ENGL 4960,75.0,83.0,0.0
ENGL 8080,75.0,100.0,0.0
ENGL 8100,67.0,100.0,0.0
ENGR 1010,33.5,83.0,3.0
ENGR 1020,49.56,90.96000000000001,2.84
ENGR 1100,42.5,88.0,3.0
ENGR 1410,7.75,50.0,31.5
ENGR 1510,24.666666666666668,92.0,3.0
ENGR 2080,41.0,84.2,5.8
ENGR 2100,47.0,83.33333333333334,3.0
ENR 1010,84.0,97.5,1.5
ENR 4290,79.5,96.5,3.5
ENSP 2000,68.2,96.00000000000001,2.0
ENSP 4000,43.0,93.0,7.0
ENT 3010,60.0,87.0,13.0
ENTR 1010,51.0,98.0,1.0
ESED 8000,75.0,100.0,0.0
ETOX 4300,43.0,86.0,5.0
ETOX 6300,67.0,84.0,17.0
FDSC 2160,70.0,100.0,0.0
FDSC 3010,78.5,95.5,5.0
FDSC 3060,74.0,100.0,0.0
FDSC 4010,37.0,100.0,0.0
FIN 2010,92.0,96.33333333333333,1.6666666666666667
FIN 3040,19.0,89.5,1.5
FIN 3050,20.75,78.875,7.5
FIN 3060,23.90909090909091,81.0909090909091,3.909090909090909
FIN 3070,33.0,91.57142857142857,2.4285714285714284
FIN 3080,37.6,92.6,4.0
FIN 3110,30.333333333333332,79.66666666666666,5.444444444444445
FIN 3120,24.90909090909091,88.9090909090909,3.5454545454545454
FIN 4010,41.0,88.0,2.0
FIN 4020,59.5,96.5,0.0
FIN 4030,20.5,87.5,0.0
FIN 4050,13.5,76.0,8.0
FIN 4060,35.0,92.33333333333333,4.333333333333333
FIN 4110,19.5,84.5,2.75
FIN 4150,56.333333333333336,98.66666666666667,1.0
FIN 4160,20.0,101.0,0.0
FIN 4980,59.0,59.0,29.0
FNPS 8510,90.0,100.0,0.0
FNR 2040,59.0,98.0,0.0
FNR 4700,86.0,96.0,4.333333333333333
FNR 4900,96.0,98.0,0.0
